species,wood_density
Barringtonia macrostachya,0.6
Barringtonia pendula,0.52
Barringtonia racemosa,0.454
Barringtonia rubra,0.5
Barringtonia scortechinii,0.575
Bastardiopsis densiflora,0.651
Batesia floribunda,0.54
Bathysa meridionalis,0.64
Batocarpus amazonicus,0.533
Bauhinia carronii,1.197
Bauhinia hookeri,1.055
Bauhinia longifolia,0.67
Bauhinia malabarica,0.58
Bauhinia petersiana,0.689
Bauhinia purpurea,0.72
Bauhinia racemosa,0.634
Bauhinia tarapotensis,0.6
Bauhinia variegata,0.653
Beilschmiedia assamica,0.54
Beilschmiedia bancroftii,0.561
Beilschmiedia borneensis,0.47
Beilschmiedia brasiliensis,0.585
Beilschmiedia corbisieri,0.663
Beilschmiedia curviramea,0.542
Beilschmiedia diversiflora,0.6485000000000001
Beilschmiedia elliptica,0.702
Beilschmiedia foxiana,0.72
Beilschmiedia gemmiflora,0.46
Beilschmiedia hutchinsoniana,0.603
Beilschmiedia insignis,0.5
Beilschmiedia intermedia,0.51475
Beilschmiedia javanica,0.38
Beilschmiedia kunstleri,0.49
Beilschmiedia kweo,0.6034999999999999
Beilschmiedia letouzeyi,0.596
Beilschmiedia louisii,0.738
Beilschmiedia lucidula,0.5
Beilschmiedia lumutensis,0.48
Beilschmiedia madang,0.47
Beilschmiedia mannii,0.5696666666666667
