genus,wood_density
Gilletiodendron,0.8905000000000001
Ginkgo,0.4545
Gironniera,0.46099999999999997
Gleditsia,0.6647142857142857
Gliricidia,0.6175
Glochidion,0.5625
Gluema,0.9724999999999999
Gluta,0.5829310344827586
Glycosmis,0.439
Glycydendron,0.68075
Glyptostrobus,0.4835
Gmelina,0.4635833333333333
Gnetum,0.61
Gochnatia,0.76
Godmania,0.52
Goethalsia,0.3494
Gomidesia,0.78
Gomphandra,0.456
Gomphia,0.7
Goniodiscus,0.58
Gonioma,0.741
Goniorrhachis,1.01
Goniothalamus,0.44
Gonocaryum,0.6615
Gonystylus,0.5491304347826087
Gordonia,0.5902000000000001
Gossia,0.7679999999999999
Gossweilerodendron,0.29
Gossypium,0.68
Goupia,0.7271875
Grevillea,0.6120333333333333
Grewia,0.5565882352941176
Grias,0.62
Griselinia,0.632
Guaiacum,1.135
Guapira,0.5993999999999999
Guarea,0.5635645161290322
Guatteria,0.5625714285714286
Guazuma,0.531625
Guettarda,0.7433333333333333
Guibourtia,0.7437884615384616
Guilfoylia,0.801
Guioa,0.54825
Gustavia,0.6414166666666666
Gymnacranthera,0.5511111111111111
Gymnanthes,1.1
Gymnocladus,0.53
Gymnostoma,0.86
Gynocardia,0.396
Gynotroches,0.52
Gyranthera,0.37
Gyrocarpus,0.2535
Gyrostemon,0.396
Haematoxylum,0.9285714285714286
Hagenia,0.566
Hakea,0.8205714285714285
Haldina,0.48
Halesia,0.42
Halfordia,0.9076000000000001
Hallea,0.4716666666666666
Halleria,0.715
Hamamelis,0.56
Hamelia,0.5
Hampea,0.3175
Haploclathra,0.82
Haplocoelum,0.788
Haplolobus,0.504
Haplormosia,0.7826
Hardwickia,0.7266666666666667
Harmandia,0.81
Harpullia,0.6094
Harrisonia,0.785
Harungana,0.46699999999999997
Hasseltia,0.53
Hebepetalum,0.8705
Heberdenia,0.67
Hedycarya,0.6045
Hedyosmum,0.45
Heisteria,0.6942857142857143
Helianthostylis,0.6275
Helicia,0.60785
Heliciopsis,0.47666666666666674
Helicostylis,0.643
Helietta,0.8125
Heliocarpus,0.2655
Henriettea,0.69
Henriettella,0.48
Henriquezia,0.73
Heritiera,0.6574197530864198
Hernandia,0.2957272727272727
Heteropanax,0.344
Heterophragma,0.6196666666666667
Heteropyxis,0.646
Heterostemon,0.6599999999999999
Heterotrichum,0.6
Hevea,0.5029047619047619
Hexachlamys,0.91
Hexalobus,0.5285
Heywoodia,0.745
Hibiscus,0.4396111111111111
Hieronima,0.638
Himatanthus,0.5339
Hintonia,0.74
Hippomane,0.5
Hirtella,0.7827368421052632
Holarrhena,0.5882499999999999
Holigarna,0.327
Holmskioldia,0.62
Holocalyx,0.859
Holodiscus,0.71
Holoptelea,0.5628
Homalanthus,0.2806666666666667
Homalium,0.7032916666666668
Homonoia,0.62
Hopea,0.7088604651162791
Horsfieldia,0.44258823529411767
Hortia,0.9013333333333334
Hovenia,0.543
Huberodendron,0.5423333333333333
Huertea,0.3974
Humbertia,1.148
Humiria,0.7248571428571429
Humiriastrum,0.6676363636363636
Hunteria,0.72
Huodendron,0.5693333333333334
Hura,0.368125
Hybanthus,0.67
Hydnocarpus,0.6342
Hydrochorea,0.5249999999999999
Hydrogaster,0.63
Hylandia,0.482
Hylodendron,0.7869999999999999
Hymenaea,0.7934871794871794
Hymenocardia,0.702
Hymenodictyon,0.45599999999999996
Hymenolobium,0.6527777777777778
Hymenosporum,0.607
Hymenostegia,0.83375
Hypericum,0.985
Hypobathrum,0.528
Hyptidendron,0.43
Idesia,0.419
Idiospermum,0.65
Ilex,0.5584375
Illicium,0.579
Inga,0.5785600000000001
Inhambanella,0.676
Inocarpus,0.45566666666666666
Intsia,0.6948235294117646
Iodina,0.61
Ipomoea,0.43499999999999994
Iresine,0.48
Iriartea,0.26699999999999996
Irvingbaileya,0.426
Irvingia,0.8034
Iryanthera,0.6047083333333333
Isertia,0.5625
Isoberlinia,0.688
Isonandra,0.93
Itoa,0.46
Ixonanthes,0.6354
Ixora,0.7928571428571428
Jacaranda,0.41332142857142856
Jacaratia,0.265
Jackiopsis,0.76
Jacquinia,0.77
Jagera,0.676
Jatropha,0.325
Joannesia,0.48050000000000004
Juglans,0.4840625
Julbernardia,0.6784285714285714
Juniperus,0.4948888888888889
Kalappia,0.51
Kalmia,0.62
Kalopanax,0.389
Kandelia,0.52475
Kaunia,0.494
Kayea,0.6816666666666666
Keteleeria,0.44025000000000003
Khaya,0.5227241379310346
Kibara,0.53
Kibatalia,0.3875
Kielmeyera,0.5933333333333334
Kigelia,0.6319999999999999
Kiggelaria,0.633
Kingiodendron,0.49
Kirkia,0.508
Kjellbergiodendron,0.75
Klainedoxa,0.9243846153846154
Kleinhovia,0.4286666666666667
Knema,0.5333157894736843
Knightia,0.585
Koelreuteria,0.595
Kokoona,0.79
Koompassia,0.7
Koordersiodendron,0.623
Kostermansia,0.6
Krugiodendron,1.15
Kunzea,0.8305
Kydia,0.258
Labramia,0.66
Lacistema,0.5093333333333333
Lacmellea,0.5048
Lacunaria,0.8043333333333335
Ladenbergia,0.47
Laetia,0.6400666666666667
Lafoensia,0.7925
Lagarostrobos,0.46
Lagerstroemia,0.59575
Laguncularia,0.61
Lannea,0.42100000000000004
Lansium,0.7533333333333333
Laplacea,0.5700000000000001
Laportea,0.16
Larix,0.46321052631578946
Lasiodiscus,0.784
Laurelia,0.39333333333333337
Laurus,0.511
Lecointea,0.8933333333333332
Lecomtedoxa,0.8230909090909091
Lecythis,0.8194230769230769
Leea,0.5700000000000001
Leonia,0.6166666666666667
Leopoldinia,0.48
Lepechinia,0.61
Lepidocordia,0.7725
Lepiniopsis,0.42
Lepionurus,0.26
Lepisanthes,0.688
Leptolaena,0.952
Leptospermum,0.8125
Letestua,0.9808
Leucaena,0.6799999999999999
Levieria,0.375
Libocedrus,0.3825
Librevillea,0.9381999999999999
Licania,0.8164947368421054
Licaria,0.8196190476190476
Ligustrum,0.63575
Limonia,0.7709999999999999
Lindackeria,0.56
Lindera,0.514875
Lindsayomyrtus,0.607
Linospadix,0.817
Lippia,0.7
Liquidambar,0.5155555555555555
Liriodendron,0.40825
Litchi,0.8602727272727272
Lithocarpus,0.66971875
Lithraea,0.60075
Litsea,0.4244367816091954
Livistona,0.71
Loesenera,0.646
Lomatia,0.6559999999999999
Lonchocarpus,0.7416969696969696
Lophira,0.8935161290322581
Lophopetalum,0.5158
Lophostemon,0.7420000000000001
Loreya,0.6
Loropetalum,0.814
Lotus,0.74
Lovoa,0.46542857142857147
Loxopterygium,0.60375
Luehea,0.5765714285714286
Lueheopsis,0.5611111111111111
Lumnitzera,0.6914
Lunania,0.6074999999999999
Lycianthes,0.44
Lysicarpus,0.689
Lysidice,0.525
Lysiloma,0.6975
Mabea,0.6157272727272727
