site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap
JAM_A01,98,Brosimum rubescens,Moraceae,522953.3546,8997951.531,0.83,2.688398724,42.5,35.44,26.61,20111208,A,O,T07,26.93,26.93,feldpausch_regional,0.18,default,0.0,42.5,26.93
JAM_A01,99,Tetragastris altissima,Burseraceae,522949.9475,8997959.383,0.71,0.029078887,8.3,11.72,7.88,20111208,A,O,T07,9.27,9.27,feldpausch_regional,0.18,default,0.0,8.3,9.27
JAM_A01,100,Tachigali alba,Fabaceae,522952.6803,8997960.716,0.56,4.180717246,60.0,40.72,22.17,20111208,A,O,T07,31.94,31.94,feldpausch_regional,0.18,default,0.0,60.0,31.94
JAM_A01,101,Pouteria macrophilla,Sapotaceae,522949.9825,8997962.581,0.74,0.786794252,28.0,26.75,16.93,20111208,A,O,T07,21.23,21.23,feldpausch_regional,0.18,default,0.0,28.0,21.23
JAM_A01,102,Pouteria gongrijpii,Sapotaceae,522949.0213,8997988.951,0.8,0.061681217,13.4,8.44,5.95,20111208,A,O,T07,13.08,13.08,feldpausch_regional,0.18,default,0.0,13.4,13.08
JAM_A01,103,NI,NI,522952.3115,8998004.681,0.62,2.23842061,53.7,24.6,18.63,20111208,A,O,T07,30.32,30.32,feldpausch_regional,0.18,default,0.0,53.7,30.32
JAM_A01,104,Thyrsodium paraense,Anacardiaceae,522948.5829,8998007.133,0.61,0.155829177,15.9,19.74,12.79,20111208,A,O,T07,14.73,14.73,feldpausch_regional,0.18,default,0.0,15.9,14.73
JAM_A01,105,Rinorea passoura,Violaceae,522946.5859,8998024.496,0.68,0.009044054,5.7,8.07,3.75,20111208,A,O,T07,6.99,6.99,feldpausch_regional,0.18,default,0.0,5.7,6.99
JAM_A01,106,Rinorea passoura,Violaceae,522946.5807,8998024.596,0.68,0.014045445,6.9,8.56,4.79,20111208,A,O,T07,8.08,8.08,feldpausch_regional,0.18,default,0.0,6.9,8.08
JAM_A01,107,NI,NI,522946.4662,8998030.69,0.45,0.017640598,9.1,12.32,,20111208,D,O,T07,9.92,9.92,feldpausch_regional,0.18,default,0.0,9.1,9.92
JAM_A01,108,Peltogyne leicointei,Fabaceae,522945.9773,8998045.974,0.76,1.005834791,28.0,33.02,20.98,20111208,A,O,T07,21.23,21.23,feldpausch_regional,0.18,default,0.0,28.0,21.23
JAM_A01,109,Aspidosperma parvifolium,Apocynaceae,522945.7978,8998055.265,0.74,0.263531016,17.4,23.21,15.88,20111208,A,O,T07,15.65,15.65,feldpausch_regional,0.18,default,0.0,17.4,15.65
JAM_A01,110,Dipteryx odorata,Fabaceae,522949.7592,8998063.809,0.92,4.053023441,45.0,42.74,25.47,20111208,A,O,T07,27.76,27.76,feldpausch_regional,0.18,default,0.0,45.0,27.76
