site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap
HUM_A01,13,Diospyros guianensis,Ebenaceae,646406.6821,8921482.024,40.5,28.64,21.36,20140627,False,O,5,26.25,26.25,feldpausch_regional,0.18,default,-1.0,40.32,26.18
HUM_A01,14,Protium hepytaphillum ,Burseraceae,646415.2144,8921488.972,41.0,23.09,14.14,20140627,False,O,5,26.42,26.42,feldpausch_regional,0.18,default,-1.0,40.82,26.36
HUM_A01,15,Helicostylis sp.,Moraceae,646417.3311,8921489.596,54.8,32.71,23.84,20140627,False,O,5,30.62,30.62,feldpausch_regional,0.18,default,-1.0,54.62,30.57
HUM_A01,16,,,646413.5021,8921497.532,64.0,6.63,,20140627,True,O,5,32.87,32.87,feldpausch_regional,0.18,default,-1.0,63.82,32.83
HUM_A01,17,,,646410.6889,8921496.233,70.0,37.35,24.71,20140627,False,O,5,34.15,34.15,feldpausch_regional,0.18,default,-1.0,69.82,34.12
HUM_A01,1,Helicostylis sp.,Moraceae,650912.0924,8921064.427,44.7,15.6,11.34,20140703,False,O,6,27.66,27.66,feldpausch_regional,0.18,default,-1.0,44.52,27.6
HUM_A01,2,Tetragastris panamensis,Burseraceae,650909.143,8921061.165,67.9,29.39,15.91,20140703,False,O,6,33.72,33.72,feldpausch_regional,0.18,default,-1.0,67.72,33.68
HUM_A01,3,Rinorea racemosa,Violaceae,650918.5652,8921075.037,53.0,27.42,16.22,20140703,False,O,6,30.13,30.13,feldpausch_regional,0.18,default,-1.0,52.82,30.08
HUM_A01,4,Aspidosperma nitidum,Apocynaceae,650914.4725,8921075.997,58.5,25.87,18.26,20140703,False,O,6,31.57,31.57,feldpausch_regional,0.18,default,-1.0,58.32,31.52
HUM_A01,5,Tetragastris panamensis,Burseraceae,650917.695,8921078.465,61.6,22.75,13.03,20140703,False,O,6,32.32,32.32,feldpausch_regional,0.18,default,-1.0,61.42,32.27
HUM_A01,6,Tetragastris panamensis,Burseraceae,650910.5561,8921088.975,42.4,32.73,18.26,20140703,False,O,6,26.9,26.9,feldpausch_regional,0.18,default,-1.0,42.22,26.84
