site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch
TAC_A01,145,Theobroma glaucum,Malvaceae,799924.497,9725858.454,7.4,4.78,2.35,False,O,P01,8.51
TAC_A01,146,Theobroma glaucum,Malvaceae,799921.8266,9725856.151,9.9,4.45,1.15,False,O,P01,10.55
TAC_A01,147,Theobroma glaucum,Malvaceae,799919.7059,9725854.323,13.2,5.08,0.46,False,O,P01,12.95
TAC_A01,148,Theobroma glaucum,Malvaceae,799917.3497,9725852.291,13.8,2.05,1.43,False,O,P01,13.36
TAC_A01,149,Theobroma glaucum,Malvaceae,799919.4869,9725850.101,10.3,4.7,0.74,False,O,P01,10.85
TAC_A01,150,Euterpe oleracea,Arecaceae,799920.5928,9725851.056,9.9,7.98,6.14,False,P,P01,10.55
TAC_A01,151,Euterpe oleracea,Arecaceae,799920.5928,9725851.056,10.4,11.85,6.9,False,P,P01,10.93
TAC_A01,152,Euterpe oleracea,Arecaceae,799920.5928,9725851.056,14.2,11.48,6.39,False,P,P01,13.62
TAC_A01,153,Theobroma glaucum,Malvaceae,799921.8567,9725852.148,7.2,4.0,1.1,False,O,P01,8.34
TAC_A01,154,Euterpe oleracea,Arecaceae,799922.9627,9725853.103,12.0,8.91,5.01,False,P,P01,12.11
TAC_A01,155,Euterpe oleracea,Arecaceae,799922.9627,9725853.103,13.0,6.59,6.05,False,P,P01,12.81
TAC_A01,156,Euterpe oleracea,Arecaceae,799922.9627,9725853.103,8.7,8.0,6.05,False,P,P01,9.6
TAC_A01,157,Theobroma glaucum,Malvaceae,799923.7526,9725853.786,11.6,4.92,2.08,False,O,P01,11.82
TAC_A01,158,Theobroma glaucum,Malvaceae,799926.9124,9725856.515,10.6,4.14,1.45,False,O,P01,11.08
TAC_A01,159,Euterpe oleracea,Arecaceae,799928.0974,9725857.539,9.4,9.45,6.85,False,P,P01,10.16
TAC_A01,160,Euterpe oleracea,Arecaceae,799928.0974,9725857.539,14.0,11.82,9.63,False,P,P01,13.49
TAC_A01,161,Euterpe oleracea,Arecaceae,799928.0974,9725857.539,10.1,7.4,5.45,False,P,P01,10.7
TAC_A01,162,Theobroma glaucum,Malvaceae,799928.9663,9725858.289,9.1,5.14,2.19,False,O,P01,9.92
TAC_A01,163,Theobroma glaucum,Malvaceae,799931.1782,9725860.2,8.8,4.96,1.47,False,O,P01,9.68
TAC_A01,164,Euterpe oleracea,Arecaceae,799932.4421,9725861.292,9.2,6.46,5.08,False,P,P01,10.0
TAC_A01,165,Euterpe oleracea,Arecaceae,799932.4421,9725861.292,16.6,11.78,7.97,False,P,P01,15.16
TAC_A01,166,Euterpe oleracea,Arecaceae,799932.4421,9725861.292,14.3,10.54,6.17,False,P,P01,13.69
TAC_A01,167,Euterpe oleracea,Arecaceae,799932.4421,9725861.292,14.4,10.9,8.23,False,P,P01,13.76
TAC_A01,168,Theobroma glaucum,Malvaceae,799933.864,9725862.52,11.2,3.75,1.49,False,O,P01,11.53
TAC_A01,169,Euterpe oleracea,Arecaceae,799934.8119,9725863.339,11.8,12.82,11.27,False,P,P01,11.96
TAC_A01,170,Euterpe oleracea,Arecaceae,799934.8119,9725863.339,11.9,8.74,5.86,False,P,P01,12.03
TAC_A01,171,Euterpe oleracea,Arecaceae,799934.8119,9725863.339,11.5,8.36,7.19,False,P,P01,11.75
TAC_A01,172,Theobroma glaucum,Malvaceae,799936.0759,9725864.431,14.9,5.34,1.37,False,O,P01,14.08
TAC_A01,173,Theobroma glaucum,Malvaceae,799938.7617,9725866.751,8.6,4.25,0.93,False,O,P01,9.52
TAC_A01,174,Euterpe oleracea,Arecaceae,799940.0256,9725867.843,12.3,10.17,7.08,False,P,P01,12.32
TAC_A01,175,Euterpe oleracea,Arecaceae,799940.0256,9725867.843,14.2,10.01,5.8,False,P,P01,13.62
TAC_A01,176,Euterpe oleracea,Arecaceae,799940.0256,9725867.843,13.1,8.78,6.49,False,P,P01,12.88
TAC_A01,177,Euterpe oleracea,Arecaceae,799940.0256,9725867.843,9.6,6.85,5.5,False,P,P01,10.31
TAC_A01,178,Theobroma glaucum,Malvaceae,799941.3685,9725869.003,8.6,4.39,1.36,False,O,P01,9.52
TAC_A01,179,Theobroma glaucum,Malvaceae,799943.3929,9725866.747,9.5,3.76,0.23,False,O,P01,10.23
TAC_A01,180,Theobroma glaucum,Malvaceae,799941.3273,9725864.96,13.8,3.95,1.47,False,O,P01,13.36
TAC_A01,181,Theobroma glaucum,Malvaceae,799938.1493,9725862.21,8.9,4.77,0.64,False,O,P01,9.76
TAC_A01,182,Theobroma glaucum,Malvaceae,799935.9248,9725860.285,8.2,3.29,1.64,False,O,P01,9.19
TAC_A01,183,Theobroma glaucum,Malvaceae,799933.7797,9725858.429,8.8,4.28,1.21,False,O,P01,9.68
TAC_A01,184,Theobroma glaucum,Malvaceae,799928.6155,9725853.96,9.5,4.39,1.65,False,O,P01,10.23
TAC_A01,185,Theobroma glaucum,Malvaceae,799926.2321,9725851.898,9.6,4.78,1.12,False,O,P01,10.31
TAC_A01,186,Theobroma glaucum,Malvaceae,799923.5308,9725849.561,10.8,5.01,1.64,False,O,P01,11.23
TAC_A01,1,Theobroma glaucum,Malvaceae,797469.9746,9728493.823,5.0,3.02,0.91,False,O,P07,6.33
TAC_A01,2,Theobroma glaucum,Malvaceae,797457.1777,9728503.927,8.3,2.51,1.18,False,O,P07,9.27
TAC_A01,3,Theobroma glaucum,Malvaceae,797452.7194,9728507.447,10.6,4.32,1.45,False,O,P07,11.08
TAC_A01,4,Theobroma glaucum,Malvaceae,797449.3344,9728510.119,5.0,3.63,1.31,False,O,P07,6.33
TAC_A01,5,Theobroma glaucum,Malvaceae,797459.5199,9728505.771,7.2,3.59,3.22,False,O,P07,8.34
TAC_A01,6,Theobroma glaucum,Malvaceae,797459.4374,9728505.836,5.5,2.1,0.88,False,O,P07,6.81
TAC_A01,7,Carapa guianensis,Meliaceae,797463.6806,9728502.905,34.9,23.18,10.78,False,O,P07,24.17
TAC_A01,8,Theobroma glaucum,Malvaceae,797467.7725,9728499.325,6.4,3.15,1.1,False,O,P07,7.64
TAC_A01,9,Theobroma glaucum,Malvaceae,797467.8389,9728499.402,13.4,5.28,2.46,False,O,P07,13.08
TAC_A01,10,Carapa guianensis,Meliaceae,797468.6017,9728499.97,44.4,30.43,8.36,False,O,P07,27.56
TAC_A01,11,Theobroma glaucum,Malvaceae,797475.9426,9728492.943,16.4,6.42,2.59,False,O,P07,15.04
TAC_A01,12,Theobroma glaucum,Malvaceae,797477.9315,9728495.337,22.0,5.63,2.14,False,O,P07,18.26
TAC_A01,13,Theobroma glaucum,Malvaceae,797474.1369,9728498.268,12.0,4.51,1.26,False,O,P07,12.11
TAC_A01,14,Theobroma glaucum,Malvaceae,797461.5158,9728508.017,5.2,2.97,1.54,False,O,P07,6.52
TAC_A01,15,Theobroma glaucum,Malvaceae,797453.2667,9728514.389,5.0,2.73,1.05,False,O,P07,6.33
TAC_A01,16,Theobroma glaucum,Malvaceae,797459.224,9728513.537,5.5,3.49,1.49,False,O,P07,6.81
TAC_A01,17,Tabebuia roseo-alba,Bignoniaceae,797460.2135,9728512.781,21.7,17.53,8.12,False,O,P07,18.1
TAC_A01,18,Carapa guianensis,Meliaceae,797467.5041,9728507.593,42.8,28.78,8.08,False,O,P07,27.04
TAC_A01,19,Carapa guianensis,Meliaceae,797471.4778,9728504.434,47.5,6.14,2.6,False,O,P07,28.54
TAC_A01,20,Theobroma glaucum,Malvaceae,797477.7882,9728503.235,6.0,3.02,1.56,False,O,P07,7.27
TAC_A01,21,Theobroma glaucum,Malvaceae,797477.7058,9728503.298,16.8,4.48,1.46,False,O,P07,15.29
TAC_A01,22,Theobroma glaucum,Malvaceae,797469.0517,9728509.832,6.5,1.73,1.2,False,O,P07,7.72
TAC_A01,23,Theobroma glaucum,Malvaceae,797461.1236,9728515.942,5.7,3.12,1.47,False,O,P07,6.99
TAC_A01,24,,,797461.1902,9728516.015,15.8,2.82,,True,O,P07,14.66
TAC_A01,25,Carapa guianensis,Meliaceae,797471.6893,9728511.755,57.7,30.96,5.7,False,O,P07,31.37
TAC_A01,26,Theobroma glaucum,Malvaceae,797475.9068,9728508.482,8.6,3.64,1.46,False,O,P07,9.52
