tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,dead,type,plot_id,htot_feldpausch
27,Euterpe oleracea,Arecaceae,798748.2961,9726488.773,11.4,False,P,2,11.67
28,Euterpe oleracea,Arecaceae,798755.0075,9726487.219,12.1,False,P,2,12.18
29,Euterpe oleracea,Arecaceae,798755.438,9726486.975,11.2,False,P,2,11.53
30,Euterpe oleracea,Arecaceae,798754.9214,9726487.268,11.1,False,P,2,11.45
31,Euterpe oleracea,Arecaceae,798755.8087,9726488.691,10.7,False,P,2,11.15
32,Euterpe oleracea,Arecaceae,798760.1833,9726490.529,11.0,False,P,2,11.38
33,Simarouba amara,Simaroubaceae,798755.7227,9726494.723,23.8,False,O,2,19.2
34,Euterpe oleracea,Arecaceae,798758.3878,9726495.488,11.9,False,P,2,12.03
35,Euterpe oleracea,Arecaceae,798758.2935,9726495.315,11.5,False,P,2,11.75
36,Jacaranda copaia,Bignoniaceae,798759.8015,9726498.081,17.9,False,O,2,15.95
37,Xylopia nitida,Annonaceae,798755.0233,9726499.608,13.4,False,O,2,13.08
38,Eriotheca globosa,Malvaceae,798765.1523,9726496.586,19.5,False,O,2,16.88
39,Tapirira guianensis,Anacardiaceae,798764.863,9726497.085,34.0,False,O,2,23.81
40,Pourouma minor,Urticaceae,798764.068,9726494.587,14.4,False,O,2,13.76
41,Euterpe oleracea,Arecaceae,798769.6672,9726491.478,12.1,False,P,2,12.18
42,Euterpe oleracea,Arecaceae,798770.5286,9726491.0,12.2,False,P,2,12.25
43,Euterpe oleracea,Arecaceae,798772.4872,9726490.483,11.4,False,P,2,11.67
44,Guatteria schomburgkiana,Annonaceae,798774.0563,9726491.324,18.0,False,O,2,16.01
45,Xylopia amazonica,Annonaceae,798770.7644,9726491.438,23.2,False,O,2,18.89
46,Guatteria schomburgkiana,Annonaceae,798770.1636,9726488.241,12.8,False,O,2,12.67
47,Guatteria schomburgkiana,Annonaceae,798770.2497,9726488.193,19.6,False,O,2,16.94
48,Euterpe oleracea,Arecaceae,798770.7541,9726485.17,10.6,False,P,2,11.08
49,Euterpe oleracea,Arecaceae,798771.0492,9726483.631,10.2,False,P,2,10.78
50,Euterpe oleracea,Arecaceae,798769.4452,9726480.639,10.3,False,P,2,10.85
51,Simarouba amara,Simaroubaceae,798765.3404,9726481.36,18.0,False,O,2,16.01
52,Guatteria schomburgkiana,Annonaceae,798763.1466,9726481.462,15.4,False,O,2,14.41
53,Jacaranda copaia,Bignoniaceae,798766.6617,9726475.447,31.3,False,O,2,22.69
54,Euterpe oleracea,Arecaceae,798765.9541,9726474.127,11.5,False,P,2,11.75
