site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2014,dead_2014,hcom_2014,htot_2014,dbh_2016,dead_2016,plot_id,htot_feldpausch
SAN_A01,46,Chamaecrista xinguensis,Fabaceae,738239.2723,9665779.201,O,28.0,False,12.37,23.73,,True,7,
SAN_A01,47,Cordia scabrifolia,Boraginaceae,738235.451,9665777.624,O,49.7,False,16.9,21.23,49.0,False,7,28.99
SAN_A01,48,Ormosia grossa,Fabaceae,738238.8288,9665774.456,O,11.0,False,14.49,18.29,10.7,False,7,11.15
SAN_A01,49,Pouteria gongrijpii,Sapotaceae,738240.3224,9665773.387,O,55.2,False,20.65,35.0,55.3,False,7,30.75
SAN_A01,50,Goupia glabra,Goupiaceae,738237.6776,9665772.234,O,41.8,False,21.69,34.41,41.8,False,7,26.7
SAN_A01,51,,,738241.3125,9665762.76,O,10.6,True,,3.5,,True,7,
SAN_A01,52,Rinorea pubiflora,Violaceae,738246.0952,9665758.376,O,11.2,False,9.41,15.75,,True,7,
SAN_A01,53,,,738240.7103,9665770.859,O,56.8,True,1.66,14.97,,True,7,
SAN_A01,54,,,738219.5326,9665764.4,O,50.7,True,0.99,3.25,,True,7,
SAN_A01,55,Inga marginata,Fabaceae,738204.2622,9665761.091,O,45.1,False,13.84,24.61,,True,7,
SAN_A01,56,Tapirira guianensis,Anacardiaceae,738283.9124,9665653.078,O,10.2,False,6.82,11.87,11.3,False,8,11.6
SAN_A01,57,Virola sebifera,Myristicaceae,738288.5642,9665653.605,O,10.0,False,7.53,12.01,10.0,False,8,10.62
SAN_A01,58,Zollernia paraensis,Fabaceae,738255.6922,9665636.415,O,52.2,False,19.84,32.07,52.3,False,8,29.94
SAN_A01,59,Protium paniculatum,Burseraceae,738289.5224,9665649.314,O,19.4,False,13.28,18.41,18.8,False,8,16.48
SAN_A01,60,Maquira coriacea,Moraceae,738290.8497,9665638.821,O,12.8,False,8.81,13.38,13.4,False,8,13.08
SAN_A01,61,Eschweilera ovata,Lecythidaceae,738295.3469,9665628.106,O,48.2,False,13.93,22.23,49.1,False,8,29.02
SAN_A01,62,Inga sp.,Fabaceae,738297.1634,9665627.856,O,12.4,False,10.16,14.96,13.2,False,8,12.95
SAN_A01,63,Aspidosperma parvifolium,Apocynaceae,738297.0264,9665626.909,O,10.1,False,6.25,8.42,9.7,False,8,10.39
SAN_A01,64,Pouteria gongrijpii,Sapotaceae,738291.6896,9665623.815,O,36.5,False,21.27,28.44,37.5,False,8,25.16
SAN_A01,65,Tachigali paniculata,Fabaceae,738300.4651,9665625.099,O,20.0,False,14.95,19.87,21.7,False,8,18.1
SAN_A01,66,Inga alba,Fabaceae,738300.51,9665622.446,O,14.9,False,12.28,18.98,16.0,False,8,14.79
SAN_A01,67,Strychnos subcordata,Loganiaceae,738300.986,9665614.416,O,12.3,False,0.58,1.24,,True,8,
SAN_A01,68,Geissospermum sericeum,Apocynaceae,738286.3782,9665608.24,O,50.6,False,15.16,20.07,50.7,False,8,29.48
SAN_A01,69,,,738278.8611,9665616.089,O,125.3,True,1.56,12.25,,True,8,
SAN_A01,70,Eschweilera ovata,Lecythidaceae,738267.029,9665603.204,O,41.6,False,20.36,29.31,42.6,False,8,26.97
SAN_A01,71,Eschweilera ovata,Lecythidaceae,738265.2702,9665591.657,O,35.9,False,20.12,31.07,36.0,False,8,24.6
SAN_A01,72,Lecythis lurida,Lecythidaceae,738263.221,9665612.609,O,52.9,False,23.08,33.17,52.8,False,8,30.07
SAN_A01,73,Terminalia amazonia,Combretaceae,738254.2604,9665611.095,O,114.4,False,30.14,45.31,114.4,False,8,40.58
SAN_A01,74,Ocotea canaliculata,Lauraceae,738276.1246,9665620.148,O,55.4,False,20.7,31.88,,True,8,
SAN_A01,75,Trichilia micrantha,Meliaceae,738271.339,9665629.205,O,62.5,False,16.45,23.37,63.0,False,8,32.64
SAN_A01,76,Xylopia sp.,Annonaceae,738302.7559,9665612.249,O,10.2,False,6.78,11.22,10.2,False,8,10.78
