site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh_2009,type_2009,dead_2009,hcom_2009,htot_2009,dbh_2011,type_2011,dead_2011,hcom_2011,htot_2011,plot_id
DUC_A01,1149,Protium hebetatum,Burseraceae,173125.1289,9674278.186,10.7,O,False,9.94,14.48,11.1,O,False,9.88,16.22,T01
DUC_A01,1150,Copaifera reticulata,Fabaceae,173123.5363,9674293.126,83.5,O,False,24.04,40.51,83.5,O,False,23.87,33.83,T01
DUC_A01,1151,Ormosia grossa,Fabaceae,173121.84,9674309.868,13.0,O,False,13.52,18.96,13.5,O,False,6.63,16.07,T01
DUC_A01,1152,Casearia javitensis,Salicaceae,173121.1761,9674310.398,5.5,O,False,12.06,15.36,8.5,O,False,12.52,15.16,T01
DUC_A01,1153,Poeppigia procera,Fabaceae,173120.8017,9674314.589,16.3,O,False,17.1,21.72,16.8,O,False,16.6,22.71,T01
DUC_A01,1154,Chrysophyllum sanguinolentum,Sapotaceae,173120.4,9674316.358,23.0,O,False,15.63,21.45,23.4,O,False,17.88,23.09,T01
DUC_A01,1155,,,173120.8248,9674318.826,28.0,O,True,,3.09,28.0,O,True,1.7,2.5,T01
DUC_A01,1156,Diplotropis sp.,Fabaceae,173120.0616,9674319.344,7.8,O,False,9.09,11.38,8.2,O,False,10.44,12.65,T01
DUC_A01,1157,Guarea guidonia,Meliaceae,173120.1249,9674320.561,7.0,O,False,5.76,8.18,6.9,O,False,3.22,5.18,T01
DUC_A01,1158,Brosimum parinarioides,Moraceae,173119.1457,9674328.313,38.9,O,False,18.58,29.44,39.9,O,False,29.84,33.78,T01
DUC_A01,1159,Poeppigia procera,Fabaceae,173118.8621,9674336.143,20.6,O,False,15.27,20.43,20.6,O,False,15.28,23.75,T01
DUC_A01,1160,Eschweilera coriacea,Lecythidaceae,173118.492,9674338.52,18.0,O,False,,13.05,18.6,O,False,10.33,12.89,T01
DUC_A01,1161,Virola michelii,Myristicaceae,173117.1153,9674346.227,29.3,O,False,24.35,27.27,29.4,O,False,19.96,25.68,T01
DUC_A01,1162,Oenocarpus bacaba,Arecaceae,173116.5422,9674350.396,6.0,P,False,6.97,9.55,5.9,P,False,0.0,0.0,T01
DUC_A01,1163,Couma guianensis,Apocynaceae,173119.6498,9674353.167,49.2,O,False,28.82,37.34,49.1,O,False,19.7,24.78,T01
DUC_A01,1164,Sterculia pruriens,Malvaceae,173116.6329,9674354.035,13.8,O,False,17.7,21.79,13.7,O,False,18.46,21.95,T01
DUC_A01,1165,Pouteria guianensis,Sapotaceae,173116.6963,9674355.252,32.1,O,False,23.04,30.2,32.8,O,False,20.13,26.43,T01
DUC_A01,1166,Poeppigia procera,Fabaceae,173117.0878,9674359.651,38.1,O,False,22.98,26.54,38.5,O,False,20.97,27.74,T01
DUC_A01,1167,Inga heterophylla,Fabaceae,173114.6774,9674362.719,9.4,O,False,10.07,13.01,9.6,O,False,6.82,14.08,T01
DUC_A01,1168,Diplotropis sp.,Fabaceae,173113.5541,9674368.315,18.4,O,False,20.39,24.92,19.5,O,False,20.36,27.61,T01
DUC_A01,1169,,,173113.5541,9674368.315,8.7,O,True,,3.73,8.7,O,True,2.51,3.95,T01
DUC_A01,1170,Minquartia guianensis,Olacaceae,173112.1621,9674373.267,11.5,O,False,3.65,8.04,11.5,O,False,5.79,9.64,T01
DUC_A01,1171,Protium heptaphyllum,Burseraceae,173110.6237,9674384.029,17.3,O,False,11.33,17.78,18.2,O,False,14.51,19.1,T01
DUC_A01,1172,Nectandra cuspidata,Lauraceae,173110.0132,9674384.48,6.3,O,False,6.0,11.24,6.7,O,False,8.64,14.02,T01
DUC_A01,1173,Sloanea guianensis,Elaeocarpaceae,173108.8654,9674388.317,9.4,O,False,7.5,12.76,9.8,O,False,8.63,11.88,T01
DUC_A01,1174,,,173107.4002,9674399.68,21.1,O,True,,1.75,21.1,O,True,1.44,2.16,T01
DUC_A01,1175,,,173106.2769,9674400.602,15.2,O,True,,3.45,,O,False,,,T01
DUC_A01,1176,Pouteria gongrijpii,Sapotaceae,173106.4723,9674402.981,20.4,O,False,21.94,28.93,21.0,O,False,16.4,21.4,T01
DUC_A01,1177,Simarouba amara,Simaroubaceae,173105.6908,9674402.81,14.8,O,False,12.21,16.52,15.1,O,False,10.79,17.93,T01
DUC_A01,1178,Protium heptaphyllum,Burseraceae,173105.6908,9674402.81,9.3,O,False,10.46,16.02,9.9,O,False,13.17,17.11,T01
DUC_A01,1179,,,173105.0803,9674405.597,39.0,O,True,,3.39,39.0,O,True,1.53,3.31,T01
DUC_A01,1181,Protium heptaphyllum,Burseraceae,173100.9289,9674424.549,20.1,O,False,18.99,25.62,20.3,O,False,17.26,24.0,T01
DUC_A01,1182,Ormosia grossa,Fabaceae,173100.3428,9674429.094,16.2,O,False,21.58,25.5,16.9,O,False,16.47,22.73,T01
DUC_A01,1183,Theobroma subincanum,Malvaceae,173099.4392,9674431.817,8.5,O,False,7.98,12.05,8.9,O,False,10.05,11.56,T01
DUC_A01,1184,Pouteria gongrijpii,Sapotaceae,173098.902,9674435.205,32.4,O,False,25.03,29.15,33.1,O,False,22.21,28.74,T01
DUC_A01,1185,Protium heptaphyllum,Burseraceae,173098.145,9674436.791,18.1,O,False,12.52,21.6,19.0,O,False,21.51,25.45,T01
DUC_A01,1186,Poeppigia procera,Fabaceae,173100.0498,9674438.377,29.8,O,False,16.74,20.56,30.4,O,False,22.43,26.29,T01
DUC_A01,1187,Sloanea guianensis,Elaeocarpaceae,173095.0038,9674453.046,8.1,O,False,7.48,12.46,8.3,O,False,10.12,13.41,T01
DUC_A01,1188,,,173095.0228,9674454.873,37.8,O,True,,5.59,37.8,O,True,1.27,6.5,T01
DUC_A01,1190,Duckeodendron cestroides,Solanaceae,173093.5451,9674465.675,7.0,O,False,9.12,11.32,7.0,O,False,0.0,0.0,T01
DUC_A01,1191,Mezilaurus itauba,Lauraceae,173095.1563,9674467.661,24.2,O,False,16.28,19.06,24.5,O,False,19.05,23.51,T01
DUC_A01,1192,Poeppigia procera,Fabaceae,173092.9438,9674474.74,14.4,O,False,12.64,17.54,14.9,O,False,15.85,23.36,T01
DUC_A01,1193,Chrysophyllum sanguinolentum,Sapotaceae,173093.7589,9674476.646,34.5,O,False,17.68,21.44,35.2,O,False,14.76,24.22,T01
DUC_A01,1194,Protium heptaphyllum,Burseraceae,173092.7039,9674477.149,10.4,O,False,5.88,13.1,10.5,O,False,5.42,11.29,T01
DUC_A01,1195,Protium heptaphyllum,Burseraceae,173092.0426,9674486.816,15.2,O,False,12.84,17.52,15.7,O,False,11.2,17.61,T01
DUC_A01,1196,Licania guianensis,Chrysobalanaceae,173092.1421,9674486.826,11.9,O,False,14.28,17.2,12.9,O,False,9.62,19.58,T01
DUC_A01,1198,Simaba cedron,Simaroubaceae,173090.8062,9674492.168,8.6,O,False,9.59,10.18,8.7,O,False,9.74,10.91,T01
DUC_A01,1199,Virola michelii,Myristicaceae,173091.2628,9674494.647,33.5,O,False,27.84,34.86,33.7,O,False,22.89,31.05,T01
DUC_A01,1200,,,173091.1033,9674495.239,10.5,L,False,,,10.6,L,False,0.0,0.0,T01
