site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2016,dead_2016,hcom_2016,htot_2016,dbh_2018,dead_2018,plot_id
SAN_A01b,016a,Pouteria gongrijpii,Sapotaceae,736543.0344,9668582.724,O,11.7,False,,,11.1,False,5
SAN_A01b,017a,Rinorea guianensis,Violaceae,736545.2704,9668580.026,O,22.8,False,11.15,19.79,23.2,False,5
SAN_A01b,018a,Rinorea guianensis,Violaceae,736543.6041,9668579.79,O,29.1,False,,,28.2,False,5
SAN_A01b,019a,Eschweilera coriacea,Lecythidaceae,736539.7209,9668578.612,O,12.6,False,,,13.5,False,5
SAN_A01b,020a,Protium paniculatum,Burseraceae,736538.7229,9668577.16,O,21.5,False,,,21.3,False,5
SAN_A01b,021a,Rinorea guianensis,Violaceae,736541.1541,9668576.007,O,22.0,False,,,18.8,False,5
SAN_A01b,022a,Nectandra cuspidata,Lauraceae,736546.4657,9668575.842,O,10.5,False,,,11.3,False,5
SAN_A01b,023a,Casearia grandiflora,Salicaceae,736540.1832,9668573.062,O,10.9,False,,,11.8,False,5
SAN_A01b,024a,Eschweilera micrantha,Lecythidaceae,736538.6575,9668572.688,O,12.4,False,,,14.0,False,5
SAN_A01b,025a,Guarea guidonia,Meliaceae,736546.3935,9668569.475,O,20.4,False,11.04,15.38,20.9,False,5
SAN_A01b,026a,,,736549.4218,9668568.315,O,14.2,False,,,15.0,False,5
SAN_A01b,027a,Protium hebetatum,Burseraceae,736543.6384,9668565.683,O,34.8,False,,,35.0,False,5
SAN_A01b,028a,Miconia poeppigii,Melastomataceae,736543.2727,9668563.611,O,26.0,False,,,,True,5
SAN_A01b,029a,Abarema jupunba,Fabaceae,736542.1936,9668566.069,O,14.0,False,,,15.0,False,5
SAN_A01b,030a,,,736537.9512,9668573.873,O,26.9,False,,,26.9,False,5
SAN_A01b,031a,Eschweilera ovata,Lecythidaceae,736531.9124,9668581.587,O,17.5,False,,,17.9,False,5
SAN_A01b,032a,Sacoglottis guianensis,Humiriaceae,736539.7149,9668582.012,O,18.6,False,,,,True,5
SAN_A01b,033a,,,736537.7014,9668584.012,O,37.5,False,,,34.7,False,5
SAN_A01b,034a,Protium paniculatum,Burseraceae,736536.2812,9668584.862,O,12.5,False,,,12.7,False,5
SAN_A01b,035a,Neea oppositifolia,Nyctaginaceae,736535.2818,9668584.924,O,14.9,False,,,15.4,False,5
SAN_A01b,036a,,,736535.2779,9668586.686,L,15.3,False,,,15.6,False,5
