site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
HUM_A01,123,Dipteryx odorata,Fabaceae,646607.4044,8921277.72,60.0,37.06,18.85,20140701,False,O,2,31.94,31.94,feldpausch_regional,0.18,default,-1.0,59.82,31.89,60.0,False,O,37.06,measured,59.82,37.00938806053289,0.9228,2054.2988,2054.2988,3126.8715,2039.5638,2039.5638,3104.4432,
HUM_A01,124,Pterocarpus sp.,Fabaceae,646610.9168,8921274.768,12.0,14.45,9.41,20140701,False,O,2,12.11,12.11,feldpausch_regional,0.18,default,-1.0,11.82,11.98,12.0,False,O,14.45,measured,11.82,14.295765644173681,0.5838,35.4041,35.4041,34.4715,34.0167,34.0167,33.1206,
HUM_A01,125,Annona exsucca,Annonaceae,646611.4768,8921272.92,19.5,24.54,18.11,20140701,False,O,2,16.88,16.88,feldpausch_regional,0.18,default,-1.0,19.32,16.78,19.5,False,O,24.54,measured,19.32,24.390617529687642,0.5112,153.1531,153.1531,130.9775,149.512,149.512,127.8636,
HUM_A01,126,Miconia surinamensis,,646608.5499,8921271.438,13.7,15.28,11.81,20140701,False,O,2,13.29,13.29,feldpausch_regional,0.18,default,-1.0,13.52,13.17,13.7,False,O,15.28,measured,13.52,15.139656804052388,0.6228,48.4221,48.4221,50.2148,46.7649,46.7649,48.4962,
HUM_A01,127,Annona exsucca,Annonaceae,646607.9086,8921269.653,13.0,14.21,11.5,20140701,False,O,2,12.81,12.81,feldpausch_regional,0.18,default,-1.0,12.82,12.68,13.0,False,O,14.21,measured,12.82,14.071454315968206,0.5112,40.7202,40.7202,34.8242,39.2498,39.2498,33.5666,
HUM_A01,128,Helicostylis sp.,Moraceae,646604.3024,8921263.332,19.1,25.17,16.45,20140701,False,O,2,16.65,16.65,feldpausch_regional,0.18,default,-1.0,18.92,16.55,19.1,False,O,25.17,measured,18.92,25.012956961921986,0.643,150.7648,150.7648,161.3014,147.1024,147.1024,157.3831,
HUM_A01,38,Eschweilera grandifolia,Lecythidaceae,646562.6549,8921440.728,15.3,18.5,14.16,20140701,False,O,3,14.34,14.34,feldpausch_regional,0.18,default,-1.0,15.12,14.23,15.3,False,O,18.5,measured,15.120000000000001,18.350324781372894,0.8314,72.3999,72.3999,99.5387,70.1879,70.1879,96.4975,
HUM_A01,39,Protium hepytaphillum ,Burseraceae,646560.2172,8921442.396,25.5,26.02,21.5,20140701,False,O,3,20.05,20.05,feldpausch_regional,0.18,default,-1.0,25.32,19.96,25.5,False,O,26.02,measured,25.32,25.905692552684663,0.5773,273.7581,273.7581,263.6489,268.841,268.841,258.9134,
HUM_A01,40,Protium hepytaphillum ,Burseraceae,646558.7689,8921438.454,37.0,31.27,16.69,20140701,False,O,3,24.98,24.98,feldpausch_regional,0.18,default,-1.0,36.82,24.91,37.0,False,O,31.27,measured,36.82,31.184929491624786,0.5773,677.3845,677.3845,652.3704,669.1852,669.1852,644.4739,
HUM_A01,41,Cedrela odorata,Meliaceae,646556.0563,8921456.648,52.7,28.27,17.29,20140701,False,O,3,30.05,30.05,feldpausch_regional,0.18,default,-1.0,52.52,30.0,52.7,False,O,28.27,measured,52.52,28.223114027738042,0.4469,1224.416,1224.416,918.3707,1214.2971,1214.2971,910.781,
HUM_A01,42,Dialium guianense,Fabaceae,646557.9149,8921479.374,51.0,15.05,10.8,20140701,False,O,3,29.57,29.57,feldpausch_regional,0.18,default,-1.0,50.82,29.52,51.0,False,O,15.05,measured,50.82,15.023814724751036,0.8964,620.7451,620.7451,918.4853,615.4288,615.4288,910.6191,
HUM_A01,43,Terminalia amazonia,Combretaceae,646567.1241,8921487.126,47.7,26.75,16.18,20140701,False,O,3,28.6,28.6,feldpausch_regional,0.18,default,-1.0,47.52,28.54,47.7,False,O,26.75,measured,47.52,26.698751421410346,0.6735,954.9851,954.9851,1069.0019,946.1907,946.1907,1059.1575,
HUM_A01,44,Hevea brasiliensis,Euphorbiaceae,646571.0646,8921495.178,66.3,39.43,25.06,20140701,False,O,3,33.38,33.38,feldpausch_regional,0.18,default,-1.0,66.12,33.34,66.3,False,O,39.43,measured,66.11999999999999,39.38389083882488,0.4666,2652.052,2652.052,2075.0052,2635.0046,2635.0046,2061.667,
HUM_A01,45,Swietenia macrophylla ,Meliaceae,646584.4426,8921479.247,55.7,27.65,21.27,20140701,False,O,3,30.85,30.85,feldpausch_regional,0.18,default,-1.0,55.52,30.81,55.7,False,O,27.65,measured,55.52,27.607750593004866,0.5195,1334.9484,1334.9484,1159.9451,1324.5621,1324.5621,1150.9204,
HUM_A01,109,,,646588.6966,8921473.972,21.4,3.78,,20140701,True,O,3,17.94,17.94,feldpausch_regional,0.18,default,-1.0,21.22,17.84,21.4,True,O,3.78,measured,21.22,3.759418356665619,0.5862,29.5842,27.37,27.37,28.9458,26.7916,26.7916,
HUM_A01,110,Rinorea racemosa,Violaceae,646589.1004,8921473.121,13.3,16.98,13.03,20140701,False,O,3,13.02,13.02,feldpausch_regional,0.18,default,-1.0,13.12,12.89,13.3,False,O,16.98,measured,13.120000000000001,16.818685431218267,0.682,50.6569,50.6569,57.4032,48.8698,48.8698,55.3782,
HUM_A01,111,Astronium gracile,Anacardiaceae,646592.9362,8921468.076,38.5,33.21,19.72,20140701,False,O,3,25.53,25.53,feldpausch_regional,0.18,default,-1.0,38.32,25.47,38.5,False,O,33.21,measured,38.32,33.12435164745712,0.73,776.3159,776.3159,940.0825,767.3105,767.3105,929.1773,
HUM_A01,112,Helicostylis sp.,Moraceae,646590.9637,8921466.868,26.8,22.15,12.61,20140701,False,O,3,20.67,20.67,feldpausch_regional,0.18,default,-1.0,26.62,20.59,26.8,False,O,22.15,measured,26.62,22.05854725822622,0.643,257.7891,257.7891,275.8055,253.3949,253.3949,271.1041,
HUM_A01,113,Stryphnodendron pulcherrimum,Fabaceae,646587.9861,8921462.878,32.2,27.67,20.24,20140701,False,O,3,23.07,23.07,feldpausch_regional,0.18,default,-1.0,32.02,23.0,32.2,False,O,27.67,measured,32.02,27.579597427185544,0.475,458.349,458.349,364.8998,451.9152,451.9152,359.7777,
HUM_A01,114,Aspidosperma nitidum,Apocynaceae,646586.5778,8921463.439,12.3,13.85,11.12,20140701,False,O,3,12.32,12.32,feldpausch_regional,0.18,default,-1.0,12.12,12.19,12.3,False,O,13.85,measured,12.120000000000001,13.706230299329263,0.7635,35.646,35.646,45.0979,34.2839,34.2839,43.3746,
HUM_A01,115,Pouteria venosa,Sapotaceae,646585.1026,8921471.334,80.0,49.04,37.16,20140701,False,O,3,36.02,36.02,feldpausch_regional,0.18,default,-1.0,79.82,35.99,80.0,False,O,49.04,measured,79.82,48.99782422630426,0.92,4734.4506,4734.4506,7185.3991,4709.7226,4709.7226,7147.8697,
HUM_A01,116,Rinorea passoura,Violaceae,646579.6102,8921465.136,11.8,8.95,6.05,20140701,False,O,3,11.96,11.96,feldpausch_regional,0.18,default,-1.0,11.62,11.83,11.8,False,O,8.95,measured,11.620000000000001,8.852646140399228,0.6705,21.4661,21.4661,23.9259,20.6104,20.6104,22.9721,
