tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
14,Xylopia nitida,Annonaceae,799312.2386,9725922.642,13.8,False,O,1,13.36,13.36,feldpausch_regional,0.18,default,-2.0,13.44,13.11,13.8,False,O,13.36,feldpausch,13.440000000000001,13.11590038072233,0.5483,43.0816,43.0816,39.457,40.1853,40.1853,36.8043,
15,Xylopia nitida,Annonaceae,799314.411,9725925.175,12.7,False,O,1,12.6,12.6,feldpausch_regional,0.18,default,-2.0,12.34,12.35,12.7,False,O,12.6,feldpausch,12.34,12.346939344095293,0.5483,34.5977,34.5977,31.6869,32.0678,32.0678,29.3698,
16,Simarouba amara,Simaroubaceae,799315.829,9725923.409,28.7,False,O,1,21.55,21.55,feldpausch_regional,0.18,default,-2.0,28.34,21.39,28.7,False,O,21.55,feldpausch,28.34,21.386432655187303,0.3833,286.8737,286.8737,185.2618,277.8179,277.8179,179.4136,
17,Xylopia nitida,Annonaceae,799321.2088,9725918.025,17.6,False,O,1,15.77,15.77,feldpausch_regional,0.18,default,-2.0,17.24,15.55,17.6,False,O,15.77,feldpausch,17.240000000000002,15.55268134894128,0.5483,81.4301,81.4301,74.5791,77.1584,77.1584,70.6668,
18,Inga alba,Fabaceae,799323.4722,9725913.005,11.5,False,O,1,11.75,11.75,feldpausch_regional,0.18,default,-2.0,11.14,11.48,11.5,False,O,11.75,feldpausch,11.14,11.486025455548704,0.5861,26.6256,26.6256,26.0239,24.4741,24.4741,23.921,
19,,,799323.4527,9725917.355,16.3,False,O,1,14.98,14.98,feldpausch_regional,0.18,default,-2.0,15.94,14.75,16.3,False,O,14.98,feldpausch,15.940000000000001,14.75416108478031,0.5847,66.6731,66.6731,65.0098,62.8895,62.8895,61.3206,
20,Hevea brasiliensis,Euphorbiaceae,799326.0824,9725915.207,30.5,False,O,1,22.35,22.35,feldpausch_regional,0.18,default,-2.0,30.14,22.19,30.5,False,O,22.35,feldpausch,30.14,22.193042714473396,0.4666,334.7409,334.7409,261.9063,324.8299,324.8299,254.1517,
21,Xylopia nitida,Annonaceae,799322.1858,9725921.653,19.7,False,O,1,17.0,17.0,feldpausch_regional,0.18,default,-2.0,19.34,16.79,19.7,False,O,17.0,feldpausch,19.34,16.7950310773082,0.5483,109.1885,109.1885,100.002,104.0879,104.0879,95.3306,
22,Simarouba amara,Simaroubaceae,799319.9342,9725926.258,12.4,False,O,1,12.39,12.39,feldpausch_regional,0.18,default,-2.0,12.04,12.13,12.4,False,O,12.39,feldpausch,12.040000000000001,12.13432450561637,0.3833,32.4831,32.4831,20.9774,30.0499,30.0499,19.4061,
23,Hevea brasiliensis,Euphorbiaceae,799317.0731,9725926.783,45.0,False,O,1,27.76,27.76,feldpausch_regional,0.18,default,-2.0,44.64,27.64,45.0,False,O,27.76,feldpausch,44.64,27.644283839959087,0.4666,883.7083,883.7083,691.4266,866.4213,866.4213,677.901,
24,Zanthoxylum rhoifolium,Rutaceae,799314.9917,9725929.235,16.3,False,O,1,14.98,14.98,feldpausch_regional,0.18,default,-2.0,15.94,14.75,16.3,False,O,14.98,feldpausch,15.940000000000001,14.75416108478031,0.5692,66.6731,66.6731,63.336,62.8895,62.8895,59.7418,
