site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,dbh,dead,type,plot_id,htot_feldpausch,dbh_used,dead_used,type_used,htot_used,htot_source,iagc_m1_kgC,iagc_m2_kgC,rho_w_m3,iagc_m3_kgC
JAM_A02,27,Tachigali alba,Fabaceae,498963.2229,8990227.081,0.56,76.0,A,O,0,35.31,76.0,True,O,35.31,feldpausch,3108.5438,2147.1727,0.5573,2147.1727
JAM_A02,28,Cedrelinga cateniformis,Fabaceae,498936.0469,8990218.418,0.5,64.0,A,O,0,32.87,64.0,True,O,32.87,feldpausch,2072.6239,1436.0236,0.5038,1436.0236
JAM_A02,29,Mauriri chamissoana,Melastomataceae,498967.6733,8990200.839,0.64,36.4,A,O,0,24.75,36.4,True,O,24.75,feldpausch,522.2278,368.3043,0.6306,368.3043
JAM_A02,37a,,,498970.5442,8990194.692,,37.8,D,O,0,25.28,37.8,False,O,25.28,feldpausch,573.8985,573.8985,0.6306,602.4317
JAM_A02,30,Astronium gracile,Anacardiaceae,498982.5026,8990216.719,0.73,20.0,A,O,0,17.17,20.0,True,O,17.17,feldpausch,113.5552,82.4445,0.73,82.4445
JAM_A02,31,Mezilaurus itauba,Lauraceae,498982.2798,8990215.629,0.72,14.4,A,O,0,13.76,14.4,True,O,13.76,feldpausch,48.181,35.6594,0.7443,35.6594
JAM_A02,32,Tetragastris panamensis,Burseraceae,498979.604,8990216.762,0.73,10.6,A,O,0,11.08,10.6,True,O,11.08,feldpausch,21.4451,16.1847,0.7173,16.1847
JAM_A02,33,Theobroma subincanum,Malvaceae,498981.9279,8990213.144,0.47,11.7,A,O,0,11.89,11.7,True,O,11.89,feldpausch,27.8572,20.8896,0.47,20.8896
JAM_A02,34,Sloanea guianensis,Elaeocarpaceae,498979.431,8990213.268,0.82,14.6,A,O,0,13.89,14.6,True,O,13.89,feldpausch,49.9522,36.9399,0.8212,36.9399
JAM_A02,35,Annona exsucca,Annonaceae,498980.138,8990208.829,0.44,12.3,A,O,0,12.32,12.3,True,O,12.32,feldpausch,31.7974,23.7678,0.5112,23.7678
JAM_A02,36,Tachigali myrmecophila,Fabaceae,498978.4763,8990089.539,0.53,65.4,A,O,0,33.18,65.4,True,O,33.18,feldpausch,2181.945,1511.0953,0.476,1511.0953
JAM_A02,37,Bixa arborea,Bixaceae,498980.4778,8990086.021,0.37,23.7,A,O,0,19.15,23.7,True,O,19.15,feldpausch,175.9406,126.5815,0.37,126.5815
JAM_A02,38,Cordia scabrifolia,Boraginaceae,498982.3802,8990081.003,0.47,13.1,A,O,0,12.88,13.1,True,O,12.88,feldpausch,37.5536,27.9585,0.474,27.9585
JAM_A02,39,Theobroma glaucum,Malvaceae,498981.9804,8990080.507,0.53,11.9,A,O,0,12.03,11.9,True,O,12.03,feldpausch,29.1251,21.8178,0.5297,21.8178
JAM_A02,40,Guatteria schomburgkiana,Annonaceae,498947.9891,8990065.822,0.6,37.7,A,O,0,25.24,37.7,True,O,25.24,feldpausch,570.0569,401.4683,0.6,401.4683
JAM_A02,41,Vochysia guianensis,Vochysiaceae,498958.9821,8990079.22,0.51,52.8,A,O,0,30.07,52.8,True,O,30.07,feldpausch,1305.2699,908.7417,0.5087,908.7417
JAM_A02,42,Pouteria gongrijpii,Sapotaceae,498958.986,8990071.22,0.8,55.0,A,O,0,30.67,55.0,True,O,30.67,feldpausch,1441.0575,1002.113,0.7994,1002.113
JAM_A02,43,Aspidosperma nitidum,Apocynaceae,498948.9864,8990071.313,0.76,76.0,A,O,0,35.31,76.0,True,O,35.31,feldpausch,3108.5438,2147.1727,0.7635,2147.1727
JAM_A02,44,Tachigali alba,Fabaceae,498939.994,8990056.396,0.56,42.4,A,O,0,26.9,42.4,True,O,26.9,feldpausch,762.9869,534.9689,0.5573,534.9689
JAM_A02,45,Tetragastris panamensis,Burseraceae,498949.994,8990055.303,0.73,36.0,A,O,0,24.6,36.0,True,O,24.6,feldpausch,508.061,358.4672,0.7173,358.4672
JAM_A02,46,Cecropia engleriana,Urticaceae,498945.9947,8990054.341,0.49,35.4,A,O,0,24.36,35.4,True,O,24.36,feldpausch,486.9811,343.8492,0.49,343.8492
JAM_A02,47,Pseudopiptadenia suaveolens,Fabaceae,498957.9941,8990054.229,0.68,36.0,A,O,0,24.6,36.0,True,O,24.6,feldpausch,508.061,358.4672,0.6797,358.4672
JAM_A02,53a,Tachigali myrmecophila,Fabaceae,498972.9959,8990049.09,0.53,46.1,A,O,0,28.1,46.1,True,O,28.1,feldpausch,937.4374,655.3949,0.476,655.3949
JAM_A02,48,Tachigali myrmecophila,Fabaceae,498978.998,8990044.035,0.53,41.0,A,O,0,26.42,41.0,True,O,26.42,feldpausch,702.1359,492.9107,0.476,492.9107
JAM_A02,49,Pouteria anibifolia,Sapotaceae,498983.7775,8990086.49,0.66,12.2,A,O,0,12.25,12.2,True,O,12.25,feldpausch,31.1212,23.2742,0.66,23.2742
JAM_A02,51,Zygia racemosa,Fabaceae,498985.0914,8989943.681,0.75,10.4,A,O,0,10.93,10.4,True,O,10.93,feldpausch,20.3893,15.407,0.748,15.407
JAM_A02,52,Licania canescens,Chrysobalanaceae,498980.9043,8989941.505,0.88,14.5,A,O,0,13.82,14.5,True,O,13.82,feldpausch,49.0441,36.2853,0.88,36.2853
JAM_A02,53,Astrocaryum aculeatum ,Arecaceae,498983.0811,8989939.996,0.51,18.4,A,P,0,16.25,18.4,True,P,16.25,feldpausch,91.4488,,0.508,
JAM_A02,54,Lecythis idatimon,Lecythidaceae,498984.8347,8989929.205,0.82,20.1,A,O,0,17.22,20.1,True,O,17.22,feldpausch,114.992,83.4693,0.7986,83.4693
JAM_A02,55,Ocotea canaliculata,Lauraceae,498985.6885,8989926.205,0.48,22.2,A,O,0,18.37,22.2,True,O,18.37,feldpausch,148.7004,107.3512,0.4793,107.3512
JAM_A02,56,Bixa arborea,Bixaceae,498982.2807,8989920.531,0.37,16.9,A,O,0,15.35,16.9,True,O,15.35,feldpausch,73.2719,53.7118,0.37,53.7118
JAM_A02,83a,Pouteria gongrijpii,Sapotaceae,498976.2323,8989931.244,0.8,44.9,A,O,0,27.72,44.9,True,O,27.72,feldpausch,878.6415,614.8328,0.7994,614.8328
JAM_A02,57,Minquartia guianensis,Olacaceae,498968.0786,8989934.28,0.77,37.7,A,O,0,25.24,37.7,True,O,25.24,feldpausch,570.0569,401.4683,0.7867,401.4683
JAM_A02,73a,Mauriri chamissoana,Melastomataceae,498971.6941,8989941.75,0.64,48.9,A,O,0,28.96,48.9,True,O,28.96,feldpausch,1083.1958,755.8374,0.6306,755.8374
JAM_A02,58,Helicostylis sp.,Moraceae,498959.9762,8989936.317,0.65,38.3,A,O,0,25.46,38.3,True,O,25.46,feldpausch,592.9014,417.3008,0.643,417.3008
