site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2010,dead_2010,hcom_2009,htot_2010,date_2010,dbh_2011,dead_2011,hcom_2011,htot_2011,date_2011,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
TAP_A01,3258,,,726394.02,9664342.36,O,9.5,A,5.33,8.5,20100116-20100213,9.9,A,5.83,10.44,20110704-20110711,500.000640863,10.55,8.5,measured,0.4,observed,-2.0,9.1,7.99,9.5,True,O,8.5,measured,8.7,7.970208995538813,0.5819,13.3687,10.4658,10.4658,10.5739,8.3272,8.3272,
TAP_A01,3259,,,726390.51,9664342.28,O,14.6,A,7.77,10.39,20100116-20100213,14.7,A,7.83,10.9,20110704-20110711,500.000640863,13.95,10.39,measured,0.1,observed,-2.0,14.5,10.29,14.6,True,O,10.39,measured,14.4,10.291388703273816,0.5819,37.6265,29.1311,29.1311,36.2877,28.1182,28.1182,
TAP_A01,3260,,,726384.78,9664342.08,O,12.9,A,11.68,16.64,20100116-20100213,13.3,A,9.97,13.25,20110704-20110711,500.000640863,13.02,16.64,measured,0.4,observed,-2.0,12.5,15.92,12.9,True,O,16.64,measured,12.1,15.904912649387816,0.5819,46.7926,33.4305,33.4305,39.5141,28.3454,28.3454,
TAP_A01,3261,,,726382.51,9664342.53,O,9.0,A,3.35,10.67,20100116-20100213,9.1,A,4.91,10.26,20110704-20110711,500.000640863,9.92,10.67,measured,0.1,observed,-2.0,8.9,10.5,9.0,True,O,10.67,measured,8.8,10.49565066382899,0.5819,15.0186,11.3131,11.3131,14.1448,10.6711,10.6711,
TAP_A01,3262,,,726372.14,9664343.37,O,6.2,A,5.67,8.99,20100116-20100213,6.4,A,4.42,9.32,20110704-20110711,500.000640863,7.64,8.99,measured,0.2,observed,-2.0,6.0,8.55,6.2,True,O,8.99,measured,5.8,8.547245512882945,0.5819,6.1387,4.6668,4.6668,5.1302,3.9188,3.9188,
TAP_A01,3263,,,726360.13,9664343.67,O,12.2,D,,4.39,20100116-20100213,,D,,,20110704-20110711,500.000640863,,4.39,measured,0.2,site_median,-2.0,,,12.2,False,O,4.39,measured,11.799999999999999,4.287404496108142,0.5819,11.4309,11.4309,11.0933,10.4664,10.4664,10.1573,
TAP_A01,3264,Attalea speciosa,Arecaceae,726350.45,9664347.43,P,33.7,A,11.51,21.16,20100116-20100213,33.1,A,10.98,20.69,20110704-20110711,500.000640863,23.44,21.16,measured,0.0,observed,-2.0,33.1,21.16,33.7,True,P,21.16,measured,33.7,21.16,0.326,385.5649,,,385.5649,,,
TAP_A01,3265,Carapa guianensis,Meliaceae,726320.87,9664347.02,O,10.6,A,8.79,11.57,20100116-20100213,10.7,A,3.76,6.18,20110704-20110711,500.000640863,11.15,11.57,measured,0.1,observed,-2.0,10.5,11.41,10.6,True,O,11.57,measured,10.4,11.412267624599401,0.53,22.3703,16.7679,16.7679,21.2669,15.9609,15.9609,
TAP_A01,3266,,,726316.92,9664346.37,O,7.0,D,,5.25,20100116-20100213,7.4,D,,4.83,20110704-20110711,500.000640863,8.51,5.25,measured,0.4,observed,-2.0,6.6,4.82,7.0,False,O,5.25,measured,6.2,4.791995557413314,0.5819,4.6022,4.6022,4.4663,3.322,3.322,3.2238,
TAP_A01,3267,,,726309.39,9664347.69,O,12.2,A,2.12,8.13,20100116-20100213,12.3,A,2.31,7.47,20110704-20110711,500.000640863,12.32,8.13,measured,0.1,observed,-2.0,12.1,8.04,12.2,True,O,8.13,measured,12.0,8.035328847036498,0.5819,20.8585,16.6431,16.6431,19.9667,15.9483,15.9483,
TAP_A01,3268,Bertholletia excelsa,Lecythidaceae,726290.6,9664348.56,O,42.6,A,20.8,29.69,20100116-20100213,43.6,A,17.06,30.67,20110704-20110711,500.000640863,27.3,29.69,measured,1.0,observed,-2.0,41.6,28.96,42.6,True,O,29.69,measured,40.6,28.935388031671273,0.638,847.8827,585.4284,585.4284,752.7634,520.6678,520.6678,
