site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
FNA_A01,65,,,715624.8201,8617594.18,0.7,0.085365032,22.8,5.22,,20131019,D,O,T01,18.68,18.68,feldpausch_regional,0.18,default,0.0,22.8,18.68,22.8,False,O,5.22,measured,22.8,5.22,0.8064,45.8771,45.8771,61.2263,45.8771,45.8771,61.2263,T01_4
FNA_A01,66,,,715602.9356,8617591.928,0.7,0.031726549,14.4,4.79,,20131019,D,O,T01,13.76,13.76,feldpausch_regional,0.18,default,0.0,14.4,13.76,14.4,False,O,4.79,measured,14.4,4.79,0.8064,17.2025,17.2025,22.958,17.2025,17.2025,22.958,T01_4
FNA_A01,67,,,715647.5397,8617597.521,0.7,0.01968359,16.3,1.97,,20131019,D,O,T01,14.98,14.98,feldpausch_regional,0.18,default,0.0,16.3,14.98,16.3,False,O,1.97,measured,16.3,1.97,0.8064,9.2056,9.2056,12.2855,9.2056,9.2056,12.2855,T01_4
FNA_A01,68,,,715640.0228,8617587.715,0.58,0.047827246,21.7,3.65,,20131019,D,O,T01,18.1,18.1,feldpausch_regional,0.18,default,0.0,21.7,18.1,21.7,False,O,3.65,measured,21.7,3.65,0.8064,29.3784,29.3784,39.2076,29.3784,29.3784,39.2076,T01_4
FNA_A01,69,,,715638.5495,8617590.575,0.58,0.101873918,22.8,8.16,,20131019,D,O,T01,18.68,18.68,feldpausch_regional,0.18,default,0.0,22.8,18.68,22.8,False,O,8.16,measured,22.8,8.16,0.8064,70.9511,70.9511,94.6893,70.9511,70.9511,94.6893,T01_4
FNA_A01,1,Esenbeckia febrifuga,Rutaceae,715481.1207,8617074.351,0.64,0.005380056,5.5,5.46,3.44,20131020,A,O,T02,6.81,6.81,feldpausch_regional,0.18,default,0.0,5.5,6.81,5.5,True,O,5.46,measured,5.5,5.46,1.0485,2.9864,2.4424,2.4424,2.9864,2.4424,2.4424,T02_1
FNA_A01,2,Cecropia distachya,Urticaceae,715482.5004,8617071.329,0.358461538,0.004596191,6.3,6.35,,20131020,A,O,T02,7.54,7.54,feldpausch_regional,0.18,default,0.0,6.3,7.54,6.3,True,O,6.35,measured,6.3,6.35,0.3404,4.5111,3.6258,3.6258,4.5111,3.6258,3.6258,T02_1
FNA_A01,3,Esenbeckia febrifuga,Rutaceae,715486.8938,8617076.276,0.64,0.008426615,6.2,6.73,2.98,20131020,A,O,T02,7.45,7.45,feldpausch_regional,0.18,default,0.0,6.2,7.45,6.2,True,O,6.73,measured,6.2,6.73,1.0485,4.6276,3.6826,3.6826,4.6276,3.6826,3.6826,T02_1
FNA_A01,4,Esenbeckia febrifuga,Rutaceae,715485.8821,8617076.926,0.64,0.014304756,8.4,6.22,3.52,20131020,A,O,T02,9.35,9.35,feldpausch_regional,0.18,default,0.0,8.4,9.35,8.4,True,O,6.22,measured,8.4,6.22,1.0485,7.7516,6.3378,6.3378,7.7516,6.3378,6.3378,T02_1
FNA_A01,5,,,715494.663,8617074.467,0.7,0.243624303,26.4,13.15,,20131020,D,O,T02,20.48,20.48,feldpausch_regional,0.18,default,0.0,26.4,20.48,26.4,False,O,13.15,measured,26.4,13.15,0.8064,150.4884,150.4884,200.8376,150.4884,150.4884,200.8376,T02_1
FNA_A01,6,,,715495.1907,8617077.588,0.58,0.050397687,17.7,6.41,,20131020,D,O,T02,15.83,15.83,feldpausch_regional,0.18,default,0.0,17.7,15.83,17.7,False,O,6.41,measured,17.7,6.41,0.8064,34.1978,34.1978,45.6394,34.1978,34.1978,45.6394,T02_1
FNA_A01,7,,,715498.614,8617075.092,0.58,0.01883606,14.6,3.08,,20131020,D,O,T02,13.89,13.89,feldpausch_regional,0.18,default,0.0,14.6,13.89,14.6,False,O,3.08,measured,14.6,3.08,0.8064,11.4843,11.4843,15.3266,11.4843,11.4843,15.3266,T02_1
FNA_A01,8,,,715505.5281,8617076.185,0.6,0.024969816,15.5,3.6,,20131020,D,O,T02,14.47,14.47,feldpausch_regional,0.18,default,0.0,15.5,14.47,15.5,False,O,3.6,measured,15.5,3.6,0.8064,15.0293,15.0293,20.0577,15.0293,15.0293,20.0577,T02_1
FNA_A01,9,,,715506.0557,8617079.305,0.7,0.080604392,15.5,12.51,,20131020,D,O,T02,14.47,14.47,feldpausch_regional,0.18,default,0.0,15.5,14.47,15.5,False,O,12.51,measured,15.5,12.51,0.8064,50.6887,50.6887,67.6477,50.6887,50.6887,67.6477,T02_1
FNA_A01,10,,,715514.4853,8617083.675,0.7,0.065827066,18.6,6.25,,20131020,D,O,T02,16.36,16.36,feldpausch_regional,0.18,default,0.0,18.6,16.36,18.6,False,O,6.25,measured,18.6,6.25,0.8064,36.7561,36.7561,49.0536,36.7561,36.7561,49.0536,T02_1
FNA_A01,11,,,715519.6449,8617089.553,0.58,0.036938654,14.2,7.51,,20131020,D,O,T02,13.62,13.62,feldpausch_regional,0.18,default,0.0,14.2,13.62,14.2,False,O,7.51,measured,14.2,7.51,0.8064,25.9628,25.9628,34.6493,25.9628,25.9628,34.6493,T02_1
FNA_A01,12,,,715514.1604,8617098.81,0.7,0.204866562,23.4,14.29,,20131020,D,O,T02,18.99,18.99,feldpausch_regional,0.18,default,0.0,23.4,18.99,23.4,False,O,14.29,measured,23.4,14.29,0.8064,128.9679,128.9679,172.1169,128.9679,128.9679,172.1169,T02_1
FNA_A01,13,,,715509.7494,8617101.15,0.58,0.190253452,27.8,10.78,,20131020,D,O,T02,21.14,21.14,feldpausch_regional,0.18,default,0.0,27.8,21.14,27.8,False,O,10.78,measured,27.8,10.78,0.8064,137.1109,137.1109,182.9844,137.1109,137.1109,182.9844,T02_1
