site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2016,dead_2016,hcom_2016,htot_2016,dbh_2018,dead_2018,plot_id,htot_feldpausch,dbh_used,dead_used,type_used,htot_used,htot_source,iagc_m1_kgC,iagc_m2_kgC,rho_w_m3,iagc_m3_kgC
SAN_A01b,041a,Pouteria gongrijpii,Sapotaceae,736774.1776,9668139.162,O,44.9,False,,,,True,3,,44.9,False,O,,feldpausch,,,0.7994,
SAN_A01b,042a,,,736768.2729,9668144.93,O,14.7,False,,,14.0,False,3,13.49,14.7,False,O,13.49,feldpausch,49.1989,49.1989,0.6965,56.9064
SAN_A01b,043a,Pouteria gongrijpii,Sapotaceae,736772.3714,9668145.153,O,30.2,False,20.43,32.36,30.4,False,3,22.3,30.2,False,O,32.36,measured,471.197,471.197,0.7994,623.4832
SAN_A01b,044a,Ocotea cernua,Lauraceae,736768.6073,9668146.436,O,16.8,False,,,17.5,False,3,15.71,16.8,False,O,15.71,feldpausch,74.0854,74.0854,0.4535,56.3737
SAN_A01b,045a,,,736785.6137,9668141.8,L,,,,,10.5,False,3,11.0,,False,L,11.0,feldpausch,,,0.6965,
SAN_A01b,001a,Pouteria reticulata,Sapotaceae,736646.5736,9668385.721,O,23.2,False,16.42,24.51,23.2,False,4,18.89,23.2,False,O,24.51,measured,214.7298,214.7298,0.794,282.2549
SAN_A01b,001b,Copaifera reticulata,Fabaceae,736635.5791,9668378.711,O,38.4,False,,,38.9,False,4,25.68,38.4,False,O,25.68,feldpausch,600.9523,600.9523,0.6075,608.2828
SAN_A01b,002a,Minquartia guianensis,Olacaceae,736648.0632,9668381.437,O,29.5,False,,,30.0,False,4,22.13,29.5,False,O,22.13,feldpausch,310.6384,310.6384,0.7867,404.6662
SAN_A01b,002b,Pouteria guianensis,Sapotaceae,736631.4332,9668371.763,O,40.4,False,,,,True,4,,40.4,False,O,,feldpausch,,,0.9295,
SAN_A01b,003a,Pouteria gongrijpii,Sapotaceae,736651.7312,9668388.843,O,25.8,False,,,26.2,False,4,20.38,25.8,False,O,20.38,feldpausch,220.661,220.661,0.7994,291.9764
SAN_A01b,003b,Cassia fastuosa,Fabaceae,736630.5883,9668362.653,O,45.0,False,,,,True,4,,45.0,False,O,,feldpausch,,,0.805,
SAN_A01b,004a,Lecythis idatimon,Lecythidaceae,736655.169,9668389.102,O,12.7,False,,,13.1,False,4,12.88,12.7,False,O,12.88,feldpausch,35.3479,35.3479,0.7986,46.7246
SAN_A01b,004b,Pouteria guianensis,Sapotaceae,736636.2568,9668360.913,O,47.0,False,,,48.8,False,4,28.93,47.0,False,O,28.93,feldpausch,1001.548,1001.548,0.9295,1535.3506
SAN_A01b,005a,Goupia glabra,Goupiaceae,736656.7108,9668387.677,O,71.0,False,,,70.0,False,4,34.15,71.0,False,O,34.15,feldpausch,2634.5492,2634.5492,0.7272,3178.3198
SAN_A01b,005b,Manilkara bidentata,Sapotaceae,736651.3381,9668355.889,O,39.6,False,15.68,25.34,39.9,False,4,26.04,39.6,False,O,25.34,measured,629.9077,629.9077,0.8729,908.2363
SAN_A01b,006a,Eschweilera coriacea,Lecythidaceae,736654.0263,9668383.421,O,24.4,False,,,24.8,False,4,19.7,24.4,False,O,19.7,feldpausch,191.4453,191.4453,0.8521,269.5998
SAN_A01b,006b,,,736650.8478,9668352.446,O,38.4,False,17.78,24.09,37.5,False,4,25.16,38.4,False,O,24.09,measured,564.6092,564.6092,0.6965,653.0608
SAN_A01b,007a,Lecythis idatimon,Lecythidaceae,736653.0625,9668377.313,O,12.0,False,,,12.7,False,4,12.6,12.0,False,O,12.6,feldpausch,30.9731,30.9731,0.7986,40.9418
