site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2014,dead_2014,hcom_2014,htot_2014,dbh_2016,dead_2016,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
SAN_A01,69,Goupia glabra,Goupiaceae,735597.6833,9670014.279,O,56.5,False,21.22,31.06,56.8,False,3,31.14,31.06,measured,0.15,observed,0.0,56.8,31.06,56.5,False,O,31.06,measured,56.5,31.06,0.7272,1537.616,1537.616,1854.9796,1537.616,1537.616,1854.9796,
SAN_A01,70,Coussarea brevicaulis,Rubiaceae,735595.7135,9670002.917,O,42.0,False,13.08,24.28,42.3,False,3,26.87,24.28,measured,0.15,observed,0.0,42.3,24.28,42.0,False,O,24.28,measured,42.0,24.28,0.6182,677.7133,677.7133,697.77,677.7133,677.7133,697.77,
SAN_A01,71,Cecropia ficifolia,Urticaceae,735608.8858,9669983.804,O,36.3,False,25.65,34.49,37.0,False,3,24.98,34.49,measured,0.35,observed,0.0,37.0,34.49,36.3,False,O,34.49,measured,36.3,34.49,0.266,718.1034,718.1034,324.6354,718.1034,718.1034,324.6354,
SAN_A01,72,Tetragastris altissima,Burseraceae,735583.4322,9669983.544,O,41.9,False,9.42,20.01,42.1,False,3,26.8,20.01,measured,0.1,observed,0.0,42.1,20.01,41.9,False,O,20.01,measured,41.9,20.01,0.7079,558.5211,558.5211,656.3129,558.5211,558.5211,656.3129,
SAN_A01,73,Cecropia ficifolia,Urticaceae,735604.8608,9669973.926,O,38.0,False,25.51,31.03,38.9,False,3,25.68,31.03,measured,0.45,observed,0.0,38.9,31.03,38.0,False,O,31.03,measured,38.0,31.03,0.266,708.2348,708.2348,320.1741,708.2348,708.2348,320.1741,
SAN_A01,74,Jacaranda copaia,Bignoniaceae,735453.7679,9669988.409,O,26.4,False,22.37,29.73,28.0,False,4,21.23,29.73,measured,0.8,observed,0.0,28.0,29.73,26.4,False,O,29.73,measured,26.4,29.73,0.3507,333.6336,333.6336,197.52,333.6336,333.6336,197.52,
SAN_A01,75,Jacaranda copaia,Bignoniaceae,735454.4411,9669985.322,O,14.2,False,16.81,20.58,14.5,False,4,13.82,20.58,measured,0.15,observed,0.0,14.5,20.58,14.2,False,O,20.58,measured,14.2,20.58,0.3507,69.4465,69.4465,41.1142,69.4465,69.4465,41.1142,
SAN_A01,76,Guatteria schomburgkiana,Annonaceae,735452.6533,9669985.63,O,20.3,False,17.24,21.0,22.0,False,4,18.26,21.0,measured,0.85,observed,0.0,22.0,21.0,20.3,False,O,21.0,measured,20.3,21.0,0.6,142.2915,142.2915,142.2915,142.2915,142.2915,142.2915,
SAN_A01,77,Jacaranda copaia,Bignoniaceae,735452.7259,9669988.589,O,11.7,False,17.0,20.52,11.8,False,4,11.96,20.52,measured,0.05,observed,0.0,11.8,20.52,11.7,False,O,20.52,measured,11.7,20.52,0.3507,47.4509,47.4509,28.0922,47.4509,47.4509,28.0922,
SAN_A01,78,Jacaranda copaia,Bignoniaceae,735452.8441,9669989.559,O,28.0,False,22.25,28.26,29.7,False,4,22.0,28.26,measured,0.85,observed,0.0,29.7,28.26,28.0,False,O,28.26,measured,28.0,28.26,0.3507,356.1699,356.1699,210.8621,356.1699,356.1699,210.8621,
SAN_A01,79,Cecropia ficifolia,Urticaceae,735448.1365,9669986.407,O,21.1,False,17.38,21.5,21.6,False,4,18.05,21.5,measured,0.25,observed,0.0,21.6,21.5,21.1,False,O,21.5,measured,21.1,21.5,0.266,157.0073,157.0073,70.9788,157.0073,157.0073,70.9788,
SAN_A01,80,Cecropia ficifolia,Urticaceae,735441.7378,9669987.508,O,27.5,False,22.02,32.11,27.2,False,4,20.86,32.11,measured,0.0,observed,0.0,27.2,32.11,27.5,False,O,32.11,measured,27.5,32.11,0.266,389.5104,389.5104,176.0872,389.5104,389.5104,176.0872,
SAN_A01,81,Jacaranda copaia,Bignoniaceae,735441.8608,9669988.775,O,22.1,False,21.68,27.44,24.3,False,4,19.45,27.44,measured,1.1,observed,0.0,24.3,27.44,22.1,False,O,27.44,measured,22.1,27.44,0.3507,218.0606,218.0606,129.0978,218.0606,218.0606,129.0978,
SAN_A01,82,Apeiba petoumo,Malvaceae,735435.8723,9669991.591,O,16.2,False,17.09,23.6,16.3,False,4,14.98,23.6,measured,0.05,observed,0.0,16.3,23.6,16.2,False,O,23.6,measured,16.2,23.6,0.2822,102.6588,102.6588,49.1744,102.6588,102.6588,49.1744,
SAN_A01,83,Cecropia ficifolia,Urticaceae,735435.7856,9669991.705,O,26.7,False,23.45,29.59,27.0,False,4,20.76,29.59,measured,0.15,observed,0.0,27.0,29.59,26.7,False,O,29.59,measured,26.7,29.59,0.266,339.5065,339.5065,153.4818,339.5065,339.5065,153.4818,
SAN_A01,84,Jacaranda copaia,Bignoniaceae,735435.6586,9669991.331,O,23.7,False,20.26,28.45,25.0,False,4,19.8,28.45,measured,0.65,observed,0.0,25.0,28.45,23.7,False,O,28.45,measured,23.7,28.45,0.3507,258.9129,258.9129,153.2834,258.9129,258.9129,153.2834,
SAN_A01,85,Cecropia ficifolia,Urticaceae,735433.6123,9669989.7,O,23.7,False,18.74,26.86,23.5,False,4,19.05,26.86,measured,0.0,observed,0.0,23.5,26.86,23.7,False,O,26.86,measured,23.7,26.86,0.266,244.7806,244.7806,110.6588,244.7806,244.7806,110.6588,
SAN_A01,86,,,735432.2129,9669990.139,O,12.7,True,2.12,3.98,12.7,True,4,12.6,3.98,measured,0.0,observed,0.0,12.7,3.98,12.7,True,O,3.98,measured,12.7,3.98,0.5942,11.235,10.0547,10.0547,11.235,10.0547,10.0547,
