site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch,dbh_used,dead_used,type_used,htot_used,htot_source,iagc_m1_kgC,iagc_m2_kgC,rho_w_m3,iagc_m3_kgC
FST_A01,14,Sloanea guianensis,Elaeocarpaceae,587280.842,9820685.578,0.821152911,0.072741839,10.6,15.49,10.54,A,O,1,11.08,10.6,True,O,15.49,measured,29.7405,21.2879,0.8212,21.2879
FST_A01,15,Nectandra cuspidata,Lauraceae,587281.3867,9820688.498,0.56,0.456387443,25.1,25.41,19.85,A,O,1,19.85,25.1,True,O,25.41,measured,259.3632,178.9372,0.518,178.9372
FST_A01,16,Pouteria guianensis,Sapotaceae,587327.8232,9820691.098,0.929561667,2.884009119,41.3,35.74,17.91,A,O,1,26.53,41.3,True,O,35.74,measured,956.4759,640.3833,0.9295,640.3833
FST_A01,17,Batesia floribunda,Fabaceae,587323.1743,9820696.308,0.54,1.124993163,40.4,25.08,17.28,A,O,1,26.21,40.4,True,O,25.08,measured,648.4265,458.6402,0.54,458.6402
FST_A01,18,Swartzia polyphylla,Fabaceae,587313.4732,9820671.269,0.691,8.298644611,86.0,31.9,22.35,A,O,1,37.01,86.0,True,O,31.9,measured,3583.4502,2530.2134,0.691,2530.2134
FST_A01,19,,,587308.6294,9820676.251,0.6,0.422950488,43.7,9.09,,D,O,1,27.33,43.7,False,O,9.09,measured,280.6977,280.6977,0.6997,326.1129
FST_A01,20,Bombax paraense,Malvaceae,587326.5726,9820713.975,0.39,6.776713454,90.8,41.41,28.81,A,O,1,37.73,90.8,True,O,41.41,measured,5139.7142,3491.59,0.39,3491.59
FST_A01,21,Nectandra cuspidata,Lauraceae,587323.5633,9820716.539,0.56,0.860693165,35.4,24.1,9.51,A,O,1,24.36,35.4,True,O,24.1,measured,481.9075,340.8442,0.518,340.8442
FST_A01,22,,,587322.2241,9820707.366,0.58,0.246153616,63.7,1.95,,D,O,1,32.8,63.7,False,O,1.95,measured,130.3811,130.3811,0.6997,151.476
FST_A01,23,Pouteria guianensis,Sapotaceae,587303.729,9820717.676,0.929561667,1.861761193,36.0,30.36,18.63,A,O,1,24.6,36.0,True,O,30.36,measured,623.8637,425.782,0.9295,425.782
FST_A01,24,NI,NI,587307.2783,9820709.659,0.64,2.522818972,43.9,40.18,28.91,A,O,1,27.4,43.9,True,O,40.18,measured,1207.995,796.2852,0.6997,796.2852
FST_A01,25,Pouteria sp.,Sapotaceae,587304.929,9820709.953,0.781766198,4.065100705,56.7,31.78,22.87,A,O,1,31.11,56.7,True,O,31.78,measured,1583.2774,1096.4466,0.7187,1096.4466
FST_A01,26,Protium paniculatum,Burseraceae,587283.3859,9820695.4,0.49,1.023404933,38.0,28.42,16.45,A,O,1,25.35,38.0,True,O,28.42,measured,650.0329,449.4601,0.49,449.4601
FST_A01,27,Manilkara huberi,Sapotaceae,587193.2964,9820754.346,0.93,13.43417192,85.6,38.73,23.43,A,O,2,36.94,85.6,True,O,38.73,measured,4291.2502,2937.8516,0.9214,2937.8516
FST_A01,28,,,587191.0135,9820754.684,0.45,0.11608327,51.0,1.82,,D,O,2,29.57,51.0,False,O,1.82,measured,78.9709,78.9709,0.6997,91.748
FST_A01,29,,,587183.7571,9820758.379,0.45,0.61042199,77.0,5.07,,D,O,2,35.49,77.0,False,O,5.07,measured,479.7095,479.7095,0.6997,557.3237
FST_A01,30,Virola melinoni,Myristicaceae,587181.4674,9820756.317,0.476163695,0.04537872,12.0,13.0,6.21,A,O,2,12.11,12.0,True,O,13.0,measured,31.9324,23.6389,0.4734,23.6389
FST_A01,31,Mouriri collocarpa,Melastomataceae,587175.8756,9820761.293,0.833333333,0.208150171,17.0,16.98,11.66,A,O,2,15.41,17.0,True,O,16.98,measured,81.793,59.0264,0.8333,59.0264
FST_A01,32,Pouteria gongrijpii,Sapotaceae,587171.3696,9820761.087,0.799402922,0.17392151,19.7,11.01,8.52,A,O,2,17.0,19.7,True,O,11.01,measured,71.4567,55.6127,0.7994,55.6127
FST_A01,33,Thyrsodium paraense,Anacardiaceae,587172.4322,9820762.414,0.613333333,0.247404121,17.8,25.01,18.72,A,O,2,15.89,17.8,True,O,25.01,measured,130.5688,88.8293,0.645,88.8293
FST_A01,34,Pouteria hispida,Sapotaceae,587170.4809,9820762.529,0.87,0.190510107,12.7,26.67,19.9,A,O,2,12.6,12.7,True,O,26.67,measured,71.9257,47.66,0.874,47.66
FST_A01,35,Pouteria hispida,Sapotaceae,587170.6915,9820763.589,0.87,1.041897452,28.1,29.8,18.22,A,O,2,21.28,28.1,True,O,29.8,measured,377.7205,255.4942,0.874,255.4942
FST_A01,36,Pouteria hispida,Sapotaceae,587167.0049,9820766.798,0.87,0.802564991,30.6,19.36,16.83,A,O,2,22.39,30.6,True,O,19.36,measured,292.8253,212.9075,0.874,212.9075
FST_A01,37,Ormosia coccinea,Fabaceae,587163.412,9820766.457,0.625,0.352933128,19.0,30.73,16.4,A,O,2,16.6,19.0,True,O,30.73,measured,181.3213,119.7824,0.625,119.7824
FST_A01,38,Dipteryx odorata,Fabaceae,587161.988,9820769.462,0.92,17.04920624,96.4,39.18,20.6,A,O,2,38.5,96.4,True,O,39.18,measured,5472.8046,3761.3196,0.9228,3761.3196
FST_A01,39,Manilkara huberi,Sapotaceae,587164.0876,9820777.664,0.93,7.920378755,63.5,41.5,26.19,A,O,2,32.76,63.5,True,O,41.5,measured,2562.6538,1710.6858,0.9214,1710.6858
FST_A01,40,Virola elongata,Myristicaceae,587159.205,9820769.176,0.52,0.143288578,15.8,21.69,13.4,A,O,2,14.66,15.8,True,O,21.69,measured,90.0386,62.2922,0.5233,62.2922
FST_A01,41,Inga thibaudiana,Fabaceae,587154.3973,9820772.42,0.576407927,0.094301116,18.2,9.7,8.69,A,O,2,16.13,18.2,True,O,9.7,measured,54.1015,42.7939,0.5786,42.7939
FST_A01,42,Ocotea canaliculata,Lauraceae,587161.8115,9820780.403,0.479426667,0.997890409,37.0,29.87,24.27,A,O,2,24.98,37.0,True,O,29.87,measured,647.7688,443.8184,0.4793,443.8184
FST_A01,43,Pouteria sp.,Sapotaceae,587178.6755,9820796.677,0.781766198,1.172887406,35.1,23.92,14.12,A,O,2,24.25,35.1,True,O,23.92,measured,470.5124,333.043,0.7187,333.043
FST_A01,45,Brosimum rubescens,Moraceae,587182.8338,9820798.681,0.825151429,2.6126026,40.1,38.68,18.53,A,O,2,26.11,40.1,True,O,38.68,measured,975.4057,644.039,0.8251,644.039
